city,province,lease_term,type,price,beds,baths,sq_feet (don’t use),sq_feet,furnishing,Pets
Airdrie,Alberta,Long Term,Apartment,1737,2,1,792,792,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1735,1,1,654,654,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1720,1,1,650,650,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1710,1,1,616,616,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1685,1,1,669,669,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1680,1,1,667,667,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1670,1,1,616,616,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1645,1,1,680,680,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1630,1,1,616,616,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1600,1,1,648,648,FALSE,FALSE
Ajax,Ontario,Long Term,House,3545,4,2.5,2500,2500,TRUE,TRUE
Ajax,Ontario,Long Term,House,3395,4,3.5,2900,2900,FALSE,TRUE
Ajax,Ontario,Long Term,House,3095,3,3.5,2000,2000,FALSE,TRUE
Ajax,Ontario,Long Term,Apartment,2703.31,2,1,869,869,FALSE,TRUE
Ajax,Ontario,Long Term,Apartment,2699,2,1,905,905,FALSE,FALSE
Ajax,Ontario,Long Term,Apartment,2625.21,2,1,914,914,FALSE,TRUE
Ajax,Ontario,Long Term,Apartment,2525,2,1,896,896,FALSE,FALSE
Ajax,Ontario,Long Term,Apartment,2523.25,2,1,871,871,FALSE,TRUE
Ajax,Ontario,Long Term,Apartment,2249,1,1,730,730,FALSE,TRUE
Ajax,Ontario,Long Term,Apartment,2149,1,1,730,730,FALSE,TRUE
Ajax,Ontario,Long Term,Apartment,1825,2,1,1000,1000,FALSE,TRUE
Aldersyde,Alberta,Long Term,House,1950,3,1,1150,1150,FALSE,TRUE
Amherstview,Ontario,Long Term,Apartment,1895,3,1,1025,1025,FALSE,TRUE
Amherstview,Ontario,Long Term,Apartment,1695,2,1,755,755,FALSE,TRUE
Ancaster,Ontario,Long Term,Townhouse,2695,3,2.5,1600,1600,FALSE,TRUE
Assiniboia,Saskatchewan,Long Term,House,900,2,1,800,800,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,3018.69,3,1,1171,1171,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,3004.69,3,1,1173,1173,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2967.69,3,1,1030,1030,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2962.69,3,1,1029,1029,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2961.69,3,1,1037,1037,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2952.69,3,1,1030,1030,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2951.69,3,1,1037,1037,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2950,3,1,1180,1180,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2927.69,3,1,1030,1030,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2691.44,2,1,918,918,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2687.44,2,1,919,919,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2662.44,2,1,919,919,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2549,2,1,905,905,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2549,2,1,916,916,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2499,2,1,850,850,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2443.44,2,1,916,916,FALSE,FALSE
Aurora,Ontario,Long Term,Apartment,2095,1,1,750,750,FALSE,FALSE
Ayr,Ontario,Long Term,Apartment,2145,2,1,884,884,FALSE,TRUE
Barrie,Ontario,Long Term,House,3195,4,2.5,2500,2500,FALSE,TRUE
Barrie,Ontario,Long Term,House,2995,3,2.5,1500,1500,FALSE,TRUE
Barrie,Ontario,Long Term,House,2845,4,4,2600,2600,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2732.45,1,1,840,840,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2725,2,2,983,983,FALSE,TRUE
Barrie,Ontario,Long Term,House,2695,3,2,1600,1600,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2690,2,2,1010,1010,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2646.85,1,1,630,630,FALSE,FALSE
Barrie,Ontario,Long Term,Townhouse,2645,4,2.5,1600,1600,FALSE,TRUE
Barrie,Ontario,Long Term,House,2645,3,3.5,2400,2400,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2625,2,2,948,948,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2595,2,2,978,978,FALSE,TRUE
Barrie,Ontario,Long Term,House,2595,3,2.5,1380,1380,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2583.25,1,1.5,885,885,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2525,2,2,902,902,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2499,2,2,940,940,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2499,2,2,1000,1000,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2495,2,1,828,828,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2495,3,2.5,1800,1800,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2476.45,1,1,712,712,FALSE,FALSE
Barrie,Ontario,Long Term,Townhouse,2445,3,3.5,1300,1300,FALSE,TRUE
Barrie,Ontario,Long Term,House,2445,2,2.5,1450,1450,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2428.62,1,1,630,630,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2416,1,1,756,756,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2415.64,1,1,840,840,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2399,2,1,865,865,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2398.17,1,1,630,630,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,2398,1,1,630,630,FALSE,FALSE
Barrie,Ontario,Long Term,House,2390,3,1.5,1200,1200,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2295,1,1,716,716,FALSE,TRUE
Barrie,Ontario,Long Term,House,2295,3,1.5,1400,1400,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2275,1,1,692,692,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2267.03,2,1,810,810,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2252.15,2,1,810,810,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2250,2,1,867,867,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2238,2,1,897,897,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2195,2,1,850,850,FALSE,TRUE
Barrie,Ontario,Long Term,House,2195,3,2,1200,1200,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2175,2,1,810,810,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2149,2,1,810,810,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2025,1,1,800,800,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2025,2,1,1000,1000,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,2024.75,1,1,669,669,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1984,1,1,716,716,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1951,1,1,669,669,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1947,1,1,668,668,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1947,1,1,680,680,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1942,1,1,669,669,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1903,1,1,601,601,FALSE,FALSE
Barrie,Ontario,Long Term,Apartment,1895,1,1,650,650,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1895,2,1,900,900,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1799,1,1,680,680,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1795,1,1,750,750,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1595,1,1,2000,2000,FALSE,TRUE
Barrie,Ontario,Long Term,Apartment,1295,1,1,300,300,FALSE,TRUE
Beaumont,Alberta,Long Term,House,2195,3,2.5,1700,1700,FALSE,FALSE
Beaumont,Alberta,Long Term,Townhouse,2100,3,2.5,approx. 1400,1400,FALSE,TRUE
Beaumont,Alberta,Long Term,House,2000,3,2.5,1477,1477,FALSE,TRUE
Beaumont,Alberta,Long Term,Townhouse,1998,3,1.5,1236,1236,FALSE,TRUE
Beaumont,Alberta,Long Term,Townhouse,1965,2,2.5,1300,1300,FALSE,TRUE
Beaumont,Alberta,Short Term,Apartment,1850,1,1,596,596,TRUE,TRUE
Beaumont,Alberta,Long Term,Apartment,1818,2,2,938,938,FALSE,TRUE
Beaumont,Alberta,Long Term,House,1800,3,2.5,1400,1400,FALSE,FALSE
Beaumont,Alberta,Long Term,Apartment,1588,1,1,576,576,FALSE,TRUE
Bedford,Nova Scotia,Long Term,Apartment,5300,3,2,2242,2242,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,5100,2,2,2159,2159,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,4500,2,2,1858,1858,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,3250,3,3,1552,1552,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2895,3,2,1366,1366,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2895,3,2,1377,1377,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2895,3,2,1395,1395,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2895,2,2,1437,1437,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2855,2,2,1505,1505,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2795,2,2,1305,1305,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2630,2,1,1429,1429,FALSE,TRUE
Bedford,Nova Scotia,Long Term,Apartment,2605,2,2,1249,1249,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2490,2,2,1443,1443,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2371.34,1,1,955,955,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,2130,1,1,1005,1005,FALSE,FALSE
Bedford,Nova Scotia,Long Term,Apartment,1980,1,1,1136,1136,FALSE,FALSE
Beiseker,Alberta,Long Term,Apartment,1150,2,1,850,850,FALSE,TRUE
Beiseker,Alberta,Long Term,Apartment,950,1,1,750,750,FALSE,TRUE
Belleville,Ontario,Long Term,Apartment,2245,2,1,770,770,FALSE,TRUE
Belleville,Ontario,Long Term,Apartment,1990,2,1,751,751,FALSE,TRUE
Belleville,Ontario,Long Term,Apartment,1890,2,1,695,695,FALSE,TRUE
Belleville,Ontario,Long Term,Apartment,1685,1,1,638,638,FALSE,TRUE
Blackfalds,Alberta,Long Term,House,2470,3,2,"1,272",1272,FALSE,TRUE
Blackfalds,Alberta,Long Term,Townhouse,2425,4,3.5,1240,1240,FALSE,FALSE
Blumenort,Manitoba,Long Term,Apartment,1290,3,1,934,934,FALSE,FALSE
Blumenort,Manitoba,Long Term,Apartment,1290,3,1,1019,1019,FALSE,FALSE
Boisbriand,Quebec,Long Term,Apartment,2495,3,1,1233,1233,FALSE,TRUE
Boisbriand,Quebec,Long Term,Apartment,1905,2,1,1101,1101,FALSE,TRUE
Boisbriand,Quebec,Long Term,Apartment,1670,1,1,753,753,FALSE,TRUE
Bolton,Ontario,Long Term,House,3645,4,1.5,2000,2000,FALSE,TRUE
Bonnyville,Alberta,Long Term,Apartment,1595,3,2,1267,1267,FALSE,FALSE
Bonnyville,Alberta,Long Term,Apartment,1395,2,2,948,948,FALSE,FALSE
Bonnyville,Alberta,Long Term,Apartment,1205,2,1,739,739,FALSE,TRUE
Bonnyville,Alberta,Long Term,Apartment,1155,2,1,733,733,FALSE,TRUE
Bonnyville,Alberta,Long Term,Apartment,1155,2,1,739,739,FALSE,TRUE
Bonnyville,Alberta,Long Term,Apartment,1130,2,1,739,739,FALSE,TRUE
Bonnyville,Alberta,Long Term,Apartment,1130,2,1,772,772,FALSE,TRUE
Bonnyville,Alberta,Long Term,Apartment,1120,2,1,830,830,FALSE,TRUE
Bradford,Ontario,Long Term,Apartment,1850,1,1,600,600,FALSE,FALSE
Brampton,Ontario,Long Term,Apartment,4400,3,2,1600,1600,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3995,6,2,2500,2500,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3995,4,3,3000,3000,FALSE,TRUE
Brampton,Ontario,Long Term,House,3995,5,4.5,3400,3400,FALSE,TRUE
Brampton,Ontario,Long Term,House,3795,4,3.5,2400,2400,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3605,4,2.5,2300,2300,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3600,2,2,1089,1089,FALSE,TRUE
Brampton,Ontario,Long Term,Townhouse,3495,4,2.5,2250,2250,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3395,3,2.5,1800,1800,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3395,4,2,2600,2600,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3360,3,2,1128,1128,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3320,4,2.5,2200,2200,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3255,3,2,1128,1128,FALSE,TRUE
Brampton,Ontario,Long Term,Townhouse,3250,3,1.5,2000,2000,FALSE,FALSE
Brampton,Ontario,Long Term,Apartment,3198,2,1.5,1219,1219,FALSE,FALSE
Brampton,Ontario,Long Term,House,3195,3,2.5,1600,1600,FALSE,TRUE
Brampton,Ontario,Long Term,House,3195,3,2,1950,1950,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3172,2,2,1059,1059,FALSE,FALSE
Brampton,Ontario,Long Term,Apartment,3145,3,1,1400,1400,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3122,2,1.5,1219,1219,FALSE,FALSE
Brampton,Ontario,Long Term,Apartment,3100,3,2,1025,1025,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3095,3,1.5,1500,1500,FALSE,TRUE
Brampton,Ontario,Long Term,House,3095,3,2.5,1840,1840,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3067,2,1,1005,1005,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3055,3,1,1340,1340,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,3047,2,1.5,1128,1128,FALSE,FALSE
Brampton,Ontario,Long Term,Apartment,3020,2,2,1059,1059,FALSE,FALSE
Brampton,Ontario,Long Term,House,2995,3,2.5,1800,1800,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2987,2,1,917,917,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2905,2,2,998,998,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2888,2,1,1005,1005,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2880,2,2,783,783,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2850,2,2,783,783,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2845,2,2,951,951,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2840,2,2,826,826,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2800,3,1,1226,1226,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2800,2,2,1300,1300,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2761,1,1,739,739,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2740,3,1,1220,1220,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2740,3,1,1220,1220,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2720,2,2,828,828,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2708,2,2,844,844,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2700,2,1,1105,1105,FALSE,TRUE
Brampton,Ontario,Long Term,Townhouse,2695,2,1.5,1000,1000,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2671,1,1,725,725,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2662.67,2,1,897,897,FALSE,TRUE
Brampton,Ontario,Long Term,Townhouse,2645,2,1.5,1130,1130,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2642.47,2,1,897,897,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2641,1,1,725,725,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2635.4,2,1,902,902,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2632.37,2,1,897,897,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2610,1,1,842,842,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2585,2,1,825,825,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2575,1,1,645,645,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2570,2,1,1164,1164,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2555,1,1,645,645,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2540,1,1,647,647,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2530,1,1,645,645,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2530,1,1,647,647,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2525,1,1,647,647,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2510,1,1,647,647,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2505,1,1,645,645,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2495,2,2,1014,1014,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2465,1,1,525,525,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2445,2,2,960,960,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2445,2,2,962,962,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2435,2,1,820,820,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2435,2,1,820,820,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2425,1,1,577,577,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2410,1,1,577,577,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2405,1,1,577,577,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2400,1,1,625,625,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2385,1,1,577,577,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2380,1,1,525,525,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2375,1,1,525,525,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2375,1,1,577,577,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2370,1,1,577,577,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2352,2,2,933,933,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2350,1,1,577,577,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2345,1,1,525,525,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2307.37,1,1,642,642,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2302.3,1,1,642,642,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2300,1,1,600,600,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2255,1,1,946,946,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2234.34,1,1,508,508,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2215,1,1,678,678,FALSE,TRUE
Brampton,Ontario,Long Term,Apartment,2150,1,1,650,650,FALSE,TRUE
